,coin,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt
0,NTRNUSDT,23734.1,1.6595,1.6553,1.6764,39386.73895,12634.603249999998
0,FLMUSDT,55130.0,0.09705,0.0969,0.0971,5350.3665,630.53385
0,ALPHAUSDT,15291.0,0.139,0.1388,0.1392,2125.449,79.92500000000001
0,AUDIOUSDT,128366.0,0.24059999999999998,0.2393,0.2413,30884.859599999996,21624.55056
0,TRBUSDT,18.32,114.101,113.93,114.07,2090.33032,0.0
0,AXSUSDT,697.5600000000001,8.002,7.99,8.01,5581.875120000001,2502.06536
0,BELUSDT,2195.6,0.72865,0.7268,0.7291,1599.82394,15.520245
0,RSRUSDT,543174.7,0.0031275,0.003123,0.003129,1698.77887425,1114.11714375
0,SANDUSDT,16049.0,0.5125,0.5119,0.5129,8225.1125,9415.137499999999
0,EGLDUSDT,75.29,57.2255,57.14,57.22,4308.507895,1983.4358299999997
0,UMAUSDT,662.9,3.902,3.896,3.903,2586.6358,891.2168
0,ORNUSDT,3225.4,1.6055000000000001,1.6,1.6065,5178.3797,1064.6070499999998
0,MANAUSDT,3692.0,0.4965,0.4959,0.4967,1833.078,382.305
0,SUNUSDT,56682.0,0.010705,0.01069,0.01071,606.78081,256.909295
0,KSMUSDT,158.756,46.539500000000004,46.47,46.6,7388.424862000001,2063.375272
0,SXPUSDT,7176.0,0.3667,0.3654,0.3681,2631.4392000000003,149.39358000000001
0,CRVUSDT,42245.1,0.5980000000000001,0.5971,0.5987,25262.5698,21229.299000000003
0,SUSHIUSDT,18434.6,1.5905,1.588,1.598,29320.2313,13026.831199999999
0,STORJUSDT,57825.0,0.7293000000000001,0.7282,0.7313,42171.77250000001,50877.426600000006
0,NMRUSDT,48.68,32.4585,32.41,32.47,1580.07978,334.32255000000004
0,OCEANUSDT,11627.0,0.7404999999999999,0.7387,0.7414,8609.7935,13764.413999999999
0,BALUSDT,258.05,4.664,4.657,4.667,1203.5452,893.80896
0,UTKUSDT,44656.0,0.082005,0.0818,0.0821,3662.0152799999996,1614.432435
0,CTKUSDT,3398.1,0.821,0.8198,0.8238,2789.8401,1479.6062
0,DCRUSDT,97.956,20.9735,20.9,21.17,2054.4801660000003,1493.7746170000003
0,AVAXUSDT,2.4,36.665,36.61,36.65,87.996,0.0
0,INJUSDT,816.8,34.001000000000005,33.95,34.02,27772.0168,17551.3162
0,NEARUSDT,9987.7,3.7435,3.738,3.746,37388.95495000001,15727.940900000001
0,AAVEUSDT,45.193,98.85849999999999,98.71,98.89,4467.712190499999,183.38251749999998
0,UNIUSDT,14689.98,10.620999999999999,10.605,10.629,156022.27757999997,102425.52527999999
0,FILUSDT,93793.37,8.46,8.439,8.496,793491.9102,394723.80360000004
0,ARDRUSDT,21481.0,0.09515000000000001,0.095,0.0952,2043.9171500000002,1810.7996500000002
0,LSKUSDT,21.1,1.3359999999999999,1.334,1.336,28.1896,0.0
0,CVCUSDT,8948.0,0.10905000000000001,0.1089,0.1093,975.7794000000001,1003.4781
0,PNTUSDT,256.0,0.178,0.1777,0.1779,45.568,0.0
0,GFTUSDT,68589.0,0.020900000000000002,0.02087,0.02093,1433.5101000000002,11.975700000000002
0,WANUSDT,1248.0,0.22949999999999998,0.2289,0.2296,286.416,0.0
0,FTTUSDT,985.1100000000001,1.7425000000000002,1.74,1.7451,1716.5541750000004,252.27915000000002
0,XTZUSDT,45.0,1.1085,1.107,1.109,49.8825,2216.2240500000003
0,BANDUSDT,4651.8,2.052,2.049,2.052,9545.4936,0.0
0,LRCUSDT,44725.0,0.27535,0.2747,0.2757,12315.02875,963.4496499999999
0,IOTXUSDT,78724.0,0.058050000000000004,0.05795,0.05805,4569.9282,3254.5732500000004
0,WRXUSDT,5457.0,0.2455,0.2449,0.2461,1339.6935,0.0
0,STMXUSDT,99404.0,0.007771,0.007759,0.007773,772.468484,0.0
0,CTXCUSDT,1286.0,0.604,0.6031,0.6046,776.744,1062.436
0,KNCUSDT,48.3,0.6735,0.6725,0.6733,32.530049999999996,20.7438
0,CHRUSDT,15461.0,0.41800000000000004,0.4174,0.4182,6462.698,339.834
0,DATAUSDT,4131.2,0.07305,0.07295,0.07305,301.78416,0.0
0,KAVAUSDT,4820.0,0.7929999999999999,0.791,0.793,3822.2599999999998,2682.3224999999998
0,CHZUSDT,28135.0,0.12780000000000002,0.12761,0.12778,3595.6530000000007,3029.8824000000004
0,RENUSDT,827.0,0.07865,0.078566,0.078757,65.04355,64.493
