,Unnamed: 0,coin,v,price,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,v_4_vb,v_8_vb
3569,9,ANKRUSDT,249.9,0.03093,145692.6,0.031035,0.03099,0.03111,4521.569841,3368.5482105,249.9,249.9
3570,10,ANKRUSDT,23204.8,0.03092,145692.6,0.031035,0.03099,0.03111,4521.569841,3368.5482105,23204.8,23204.8
3571,11,ANKRUSDT,45466.1,0.03091,145692.6,0.031035,0.03099,0.03111,4521.569841,3368.5482105,45466.1,45466.1
3572,12,ANKRUSDT,26718.4,0.03089,145692.6,0.031035,0.03099,0.03111,4521.569841,3368.5482105,26718.4,26718.4
3573,13,ANKRUSDT,41987.7,0.03084,145692.6,0.031035,0.03099,0.03111,4521.569841,3368.5482105,41987.7,41987.7
3574,14,ANKRUSDT,186150.5,0.03081,145692.6,0.031035,0.03099,0.03111,4521.569841,3368.5482105,186150.5,186150.5
3575,15,ANKRUSDT,2130.6,0.0308,145692.6,0.031035,0.03099,0.03111,4521.569841,3368.5482105,2130.6,2130.6
3576,0,IOTAUSDT,18038.0,0.2721,16586.0,0.27190000000000003,0.2715,0.2726,4509.7334,3831.6148000000003,0.0,0.0
3577,1,IOTAUSDT,217.0,0.2691,16586.0,0.27190000000000003,0.2715,0.2726,4509.7334,3831.6148000000003,217.0,217.0
3578,0,VETUSDT,55518.9,0.04447,481084.2,0.04446,0.04435,0.0445,21389.003532,13329.503693999999,0.0,0.0
3579,1,VETUSDT,82859.8,0.04446,481084.2,0.04446,0.04435,0.0445,21389.003532,13329.503693999999,0.0,0.0
3580,2,VETUSDT,47085.7,0.0444,481084.2,0.04446,0.04435,0.0445,21389.003532,13329.503693999999,0.0,0.0
3581,3,VETUSDT,407401.2,0.04436,481084.2,0.04446,0.04435,0.0445,21389.003532,13329.503693999999,0.0,0.0
3582,4,VETUSDT,19835.7,0.04435,481084.2,0.04446,0.04435,0.0445,21389.003532,13329.503693999999,0.0,0.0
3583,0,CELRUSDT,21786.0,0.02378,104569.9,0.023795,0.02376,0.0238,2488.2407705,1232.2145569999998,0.0,0.0
3584,1,CELRUSDT,38674.0,0.02377,104569.9,0.023795,0.02376,0.0238,2488.2407705,1232.2145569999998,0.0,0.0
3585,2,CELRUSDT,61162.6,0.02376,104569.9,0.023795,0.02376,0.0238,2488.2407705,1232.2145569999998,0.0,0.0
3586,3,CELRUSDT,224564.8,0.02375,104569.9,0.023795,0.02376,0.0238,2488.2407705,1232.2145569999998,224564.8,224564.8
3587,4,CELRUSDT,113930.5,0.02373,104569.9,0.023795,0.02376,0.0238,2488.2407705,1232.2145569999998,113930.5,113930.5
3588,5,CELRUSDT,71822.1,0.02358,104569.9,0.023795,0.02376,0.0238,2488.2407705,1232.2145569999998,71822.1,71822.1
3589,6,CELRUSDT,11789.5,0.02356,104569.9,0.023795,0.02376,0.0238,2488.2407705,1232.2145569999998,11789.5,11789.5
3590,0,WINUSDT,48075035.0,0.0001246,27452968.0,0.00012535,0.0001249,0.0001254,3441.2295388000002,59.42216750000001,48075035.0,48075035.0
3591,1,WINUSDT,18446920.0,0.0001244,27452968.0,0.00012535,0.0001249,0.0001254,3441.2295388000002,59.42216750000001,18446920.0,18446920.0
3592,2,WINUSDT,10290361.0,0.0001242,27452968.0,0.00012535,0.0001249,0.0001254,3441.2295388000002,59.42216750000001,10290361.0,10290361.0
3593,3,WINUSDT,26832347.0,0.000124,27452968.0,0.00012535,0.0001249,0.0001254,3441.2295388000002,59.42216750000001,26832347.0,26832347.0
3594,0,LINKUSDT,125.09,18.444,246.35999999999999,18.4575,18.43,18.45,4547.1897,11562.14715,0.0,0.0
3595,1,LINKUSDT,347.85,18.439,246.35999999999999,18.4575,18.43,18.45,4547.1897,11562.14715,0.0,0.0
3596,2,LINKUSDT,141.17,18.431,246.35999999999999,18.4575,18.43,18.45,4547.1897,11562.14715,0.0,0.0
3597,3,LINKUSDT,1.42,17.968,246.35999999999999,18.4575,18.43,18.45,4547.1897,11562.14715,1.42,1.42
3598,0,VITEUSDT,41967.7,0.02411,64679.3,0.02417,0.02411,0.02418,1563.2986810000002,405.519426,0.0,0.0
3599,1,VITEUSDT,11990.4,0.02317,64679.3,0.02417,0.02411,0.02418,1563.2986810000002,405.519426,11990.4,11990.4
3600,2,VITEUSDT,91390.7,0.02314,64679.3,0.02417,0.02411,0.02418,1563.2986810000002,405.519426,0.0,91390.7
3601,0,KEYUSDT,105814.0,0.007205,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,105814.0,105814.0
3602,1,KEYUSDT,261880.0,0.007201,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,261880.0,261880.0
3603,2,KEYUSDT,883211.0,0.007195,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,883211.0,883211.0
3604,3,KEYUSDT,32340.0,0.002598,283598.0,0.0072250000000000005,0.007214,0.007225,2048.99555,3326.9391,0.0,0.0
3605,0,FTMUSDT,1527.0,0.4212,26846.0,0.4215,0.4209,0.4216,11315.589,6970.767,0.0,0.0
3606,1,FTMUSDT,26905.0,0.4211,26846.0,0.4215,0.4209,0.4216,11315.589,6970.767,0.0,0.0
3607,2,FTMUSDT,21597.0,0.421,26846.0,0.4215,0.4209,0.4216,11315.589,6970.767,0.0,0.0
3608,3,FTMUSDT,32367.0,0.4209,26846.0,0.4215,0.4209,0.4216,11315.589,6970.767,0.0,0.0
3609,4,FTMUSDT,65265.0,0.4208,26846.0,0.4215,0.4209,0.4216,11315.589,6970.767,65265.0,65265.0
3610,5,FTMUSDT,19090.0,0.4207,26846.0,0.4215,0.4209,0.4216,11315.589,6970.767,19090.0,19090.0
3611,6,FTMUSDT,56097.0,0.4204,26846.0,0.4215,0.4209,0.4216,11315.589,6970.767,56097.0,56097.0
3612,7,FTMUSDT,6634.0,0.4197,26846.0,0.4215,0.4209,0.4216,11315.589,6970.767,6634.0,6634.0
3613,0,ZILUSDT,0.0,0.02415,440483.7,0.024155000000000003,0.02412,0.02421,10639.883773500002,14317.545326500003,0.0,0.0
3614,1,ZILUSDT,73121.0,0.02414,440483.7,0.024155000000000003,0.02412,0.02421,10639.883773500002,14317.545326500003,0.0,0.0
3615,2,ZILUSDT,38602.6,0.02413,440483.7,0.024155000000000003,0.02412,0.02421,10639.883773500002,14317.545326500003,0.0,0.0
3616,3,ZILUSDT,108048.5,0.02412,440483.7,0.024155000000000003,0.02412,0.02421,10639.883773500002,14317.545326500003,0.0,0.0
3617,4,ZILUSDT,286173.1,0.02411,440483.7,0.024155000000000003,0.02412,0.02421,10639.883773500002,14317.545326500003,286173.1,286173.1
3618,5,ZILUSDT,18669.8,0.0241,440483.7,0.024155000000000003,0.02412,0.02421,10639.883773500002,14317.545326500003,18669.8,18669.8
3619,6,ZILUSDT,11249.5,0.02409,440483.7,0.024155000000000003,0.02412,0.02421,10639.883773500002,14317.545326500003,11249.5,11249.5
3620,0,EOSUSDT,171563.2,0.799,17052.6,0.8015000000000001,0.8,0.801,13667.6589,0.0,171563.2,171563.2
3621,1,EOSUSDT,142292.8,0.798,17052.6,0.8015000000000001,0.8,0.801,13667.6589,0.0,142292.8,142292.8
3622,2,EOSUSDT,13958.4,0.796,17052.6,0.8015000000000001,0.8,0.801,13667.6589,0.0,13958.4,13958.4
3623,3,EOSUSDT,36586.6,0.795,17052.6,0.8015000000000001,0.8,0.801,13667.6589,0.0,36586.6,36586.6
3624,0,TFUELUSDT,502.0,0.04982,32509.0,0.050485,0.05041,0.05055,1641.216865,1478.30177,502.0,502.0
3625,1,TFUELUSDT,55335.0,0.0498,32509.0,0.050485,0.05041,0.05055,1641.216865,1478.30177,55335.0,55335.0
3626,0,WAVESUSDT,868.36,2.442,5313.08,2.4459999999999997,2.44,2.447,12995.793679999999,7245.5412,0.0,0.0
3627,0,BATUSDT,1102.0,0.2588,14541.0,0.2586,0.2582,0.2589,3760.3026,344.9724,0.0,0.0
3628,1,BATUSDT,13548.0,0.2586,14541.0,0.2586,0.2582,0.2589,3760.3026,344.9724,0.0,0.0
3629,2,BATUSDT,27552.0,0.2584,14541.0,0.2586,0.2582,0.2589,3760.3026,344.9724,0.0,0.0
3630,0,ADAUSDT,0.0,0.5918,85730.4,0.5925,0.5916,0.5926,50795.262,47323.68600000001,0.0,0.0
3631,1,ADAUSDT,68245.4,0.5917,85730.4,0.5925,0.5916,0.5926,50795.262,47323.68600000001,0.0,0.0
3632,2,ADAUSDT,45014.6,0.5916,85730.4,0.5925,0.5916,0.5926,50795.262,47323.68600000001,0.0,0.0
3633,3,ADAUSDT,82139.1,0.5915,85730.4,0.5925,0.5916,0.5926,50795.262,47323.68600000001,82139.1,82139.1
3634,4,ADAUSDT,76452.0,0.5914,85730.4,0.5925,0.5916,0.5926,50795.262,47323.68600000001,76452.0,76452.0
3635,5,ADAUSDT,32767.6,0.5913,85730.4,0.5925,0.5916,0.5926,50795.262,47323.68600000001,32767.6,32767.6
3636,6,ADAUSDT,32753.6,0.591,85730.4,0.5925,0.5916,0.5926,50795.262,47323.68600000001,32753.6,32753.6
3637,7,ADAUSDT,20343.7,0.5904,85730.4,0.5925,0.5916,0.5926,50795.262,47323.68600000001,20343.7,20343.7
3638,8,ADAUSDT,28063.0,0.5903,85730.4,0.5925,0.5916,0.5926,50795.262,47323.68600000001,28063.0,28063.0
3639,9,ADAUSDT,1704.0,0.5897,85730.4,0.5925,0.5916,0.5926,50795.262,47323.68600000001,1704.0,1704.0
3640,0,THETAUSDT,53.6,1.301,14090.8,1.315,1.313,1.318,18529.402,22063.201499999996,53.6,53.6
3641,0,FETUSDT,51.0,1.0819,44181.0,1.0825,1.0766,1.085,47825.9325,22658.89,0.0,0.0
3642,1,FETUSDT,21.0,1.0818,44181.0,1.0825,1.0766,1.085,47825.9325,22658.89,0.0,0.0
3643,2,FETUSDT,1279.0,1.0816,44181.0,1.0825,1.0766,1.085,47825.9325,22658.89,0.0,0.0
3644,3,FETUSDT,1514.0,1.081,44181.0,1.0825,1.0766,1.085,47825.9325,22658.89,0.0,0.0
3645,4,FETUSDT,1297.0,1.0808,44181.0,1.0825,1.0766,1.085,47825.9325,22658.89,0.0,0.0
3646,5,FETUSDT,3280.0,1.0804,44181.0,1.0825,1.0766,1.085,47825.9325,22658.89,0.0,0.0
3647,6,FETUSDT,11099.0,1.0791,44181.0,1.0825,1.0766,1.085,47825.9325,22658.89,0.0,0.0
3648,0,BNBUSDT,87.773,382.6,25.633999999999997,383.07349999999997,382.5,382.9,9819.706098999997,0.0,0.0,0.0
3649,1,BNBUSDT,254.917,382.4,25.633999999999997,383.07349999999997,382.5,382.9,9819.706098999997,0.0,254.917,254.917
3650,2,BNBUSDT,470.802,382.2,25.633999999999997,383.07349999999997,382.5,382.9,9819.706098999997,0.0,470.802,470.802
3651,3,BNBUSDT,324.819,382.1,25.633999999999997,383.07349999999997,382.5,382.9,9819.706098999997,0.0,324.819,324.819
3652,4,BNBUSDT,112.425,382.0,25.633999999999997,383.07349999999997,382.5,382.9,9819.706098999997,0.0,112.425,112.425
3653,0,MATICUSDT,0.0,0.9959,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,0.0,0.0
3654,1,MATICUSDT,108.0,0.9958,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,0.0,0.0
3655,2,MATICUSDT,8687.3,0.9957,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,0.0,0.0
3656,3,MATICUSDT,20692.5,0.9956,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,0.0,0.0
3657,4,MATICUSDT,16001.3,0.9955,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,16001.3,16001.3
3658,5,MATICUSDT,3829.4,0.9954,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,3829.4,3829.4
3659,6,MATICUSDT,12191.0,0.9953,16413.8,0.9975,0.9956,0.9968,16372.7655,0.0,12191.0,12191.0
