,coin,Unnamed: 0_x,cluster_v_usdt_x,cluster_v_buyer_usdt_x,v_4_vb,v_8_vb,v_4_b,v_8_b,d8_b,Unnamed: 0_y,cluster_v_usdt_y,cluster_v_buyer_usdt_y,v_4_va,v_8_va,v_4_a,v_8_a,d8_a,cluster_v,cluster_p,trade_min_p,trade_max_p,cluster_v_usdt,cluster_v_buyer_usdt,amount_max,till_date,Unnamed: 0,buyer,trades_v_usdt,liq_v_l_usdt,liq_v_s_usdt,cluster_max_avg,liq_l_max_avg,liq_s_max_avg,C-i,B/A,B-i,BVi,A/B,A-i,AVi,Liq L,Liq S,L-i L,L-i S,BVi_test,AVi_test
207,CHESSUSDT,19889,125379819.59359999,64843546.1232,11963414.8,12127541.4,2517576.59328,2550345.7453,2550345.7453,16407,107695334.90429999,55697539.19535,10274883.3,10648650.3,2250585.21071,2335298.9964799997,2335298.9964799997,99948.2,0.21189999999999998,0.2116,0.2157,21179.023579999997,10953.30171,139487.0,2024-02-18,0,210,95065.10825,,,60418.3085265,,,0.4,1.1,1.0,118.9,0.9,1.0,106.3,,,,,26.5,23.7
141,UTKUSDT,4074,84498512.175,0.0,57700793.0,58434955.0,4506719.8622,4561741.4773,4561741.4773,2234,60388270.0344,0.0,120201817.0,141839165.0,9867622.6884,11691295.465,11691295.465,407055.0,0.07908,0.0788,0.0803,32189.9094,0.0,63967.0,2024-02-18,0,52,42979.0254,,,75444.13432350001,,,0.4,0.4,1.0,140.0,2.6,0.8,306.5,,,,,104.9,229.6
249,ALCXUSDT,641042,3098807927.116292,2418865854.3959026,300219.42,359080.767,9523270.074263,11299980.077377,11299980.077377,249933,1977533637.988604,1543622162.249113,80233.8985,97776.5456,2765729.65374,3397651.604789,3397651.604789,2091.8298,32.335499999999996,32.03,34.09,67640.36249789999,52798.678418699994,172405.0,2024-02-18,0,2686,1576049.75633,,,168657.530293515,,,0.4,3.3,0.8,140.8,0.3,0.8,40.9,,,,,6.0,1.8
335,USTCUSDT,3725344,13773523065.32305,2714475684.64015,51865975.0,55411241.0,1554835.6501585399,1655351.19582719,1655351.19582719,4942885,15421028002.204779,3039164732.6259403,51733478.0,56915471.0,1606631.5814381,1776491.23591472,1776491.23591472,5554613.0,0.030685,0.03015625,0.03087,170443.299905,33590.838815,369155.0,2024-02-18,0,855,309106.04279732,32745.510565600005,,390616.70357649995,159334.14965704,59685.620791400004,0.4,0.9,0.9,9.1,1.1,0.9,9.4,32.7,,0.2,,5.0,5.2
60,CVCUSDT,18419,143457605.469,125935219.52219999,42076802.0,42245537.0,4728925.0311,4747074.7289,4747074.7289,7640,78428515.7745,68848997.71309999,11320185.0,11444039.0,1309737.1224,1324606.5449,1324606.5449,183735.0,0.11395,0.1131,0.1149,20936.60325,18379.337349999998,2162555.0,2024-02-18,0,179,96369.1431,,,60790.544980000006,,,0.3,3.6,1.0,225.9,0.3,1.0,62.6,,,,,49.1,13.6
224,GTCUSDT,25701,436562926.139,225212594.2372,2232487.1,2243988.6,3258565.0099,3274429.1972,3274429.1972,15973,398588173.0855,205622308.0754,2932307.4,3213825.2,4433250.9410999995,4879579.429599999,4879579.429599999,39511.0,1.4855,1.467,1.501,58693.5905,30278.6494,533690.0,2024-02-18,0,467,335038.87450000003,,7.8438,234087.01252499997,57255.586079999994,24140.721080000003,0.3,0.7,1.0,55.5,1.5,0.9,75.5,,0.0,,0.0,9.7,13.2
222,GHSTUSDT,12224,104737093.08299999,115306013.2518,2251021.7,2270094.3,2334167.9581999998,2353307.57,2353307.57,5715,66017280.482999995,72679021.29179999,4321798.3,6063347.4,4685268.285,6633706.5263,6633706.5263,20351.0,1.057,1.047,1.064,21511.006999999998,23681.6622,49549.0,2024-02-18,0,348,98868.439,,,83131.51513,,,0.3,0.4,1.0,108.5,2.8,0.7,217.8,,,,,23.6,47.4
283,REIUSDT,15242,100750591.7235,42177055.41787501,47964592.5,48659413.7,1506463.055311,1527213.347826,1527213.347826,9539,69478568.21700001,29085699.368250005,93834416.7,130985446.7,3066375.721834,4314869.028583,4314869.028583,697287.2,0.031875,0.03157,0.032,22226.0295,9304.446375000001,458970.0,2024-02-18,0,262,80744.656711,,,65174.57327044998,,,0.3,0.4,1.0,67.8,2.8,0.7,138.0,,,,,18.7,38.0
195,UNFIUSDT,221110,1323053008.66025,1113393877.1515,234256.9,237104.8,1588311.2619,1606393.8508,1606393.8508,139191,1054034334.7809999,887005559.846,562352.0,750505.0,4049448.3594,5456386.9177,5456386.9177,8086.9,7.0975,6.809,7.111,57396.77275,48301.326499999996,1815879.0,2024-02-18,0,670,405341.4837,88.4021,67.2038,166109.98916499998,84212.53244,19983.752399999998,0.3,0.3,1.0,27.7,3.4,0.7,70.6,0.1,0.1,0.0,0.0,3.9,10.0
248,ACHUSDT,72023,898935335.1151199,328740067.74468,254320614.0,258864478.0,6166068.86075,6270204.00792,6270204.00792,55940,813310695.72864,297427192.77695996,243620948.0,256798730.0,6108961.8584,6457897.49816,6457897.49816,2486466.0,0.02481,0.02438,0.0249,61689.22145999999,22559.708189999998,327899.0,2024-02-18,0,592,530391.12398,373.1008203,,198451.6342415,75784.80131188,14097.097273340001,0.3,1.0,1.0,100.0,1.0,0.9,99.0,0.4,,0.0,,11.6,11.5
